country,sattype,satpurpose,satid
USA,Commercial,Earth Observation,47469
USA,Commercial,Earth Observation,47477
USA,Commercial,Earth Observation,47473
USA,Commercial,Earth Observation,47530
USA,Commercial,Earth Observation,47522
USA,Commercial,Earth Observation,47490
USA,Commercial,Earth Observation,47491
USA,Commercial,Earth Observation,47698
USA,Commercial,Earth Observation,47612
USA,Commercial,Earth Observation,47687
USA,Commercial,Earth Observation,47686
USA,Commercial,Earth Observation,47688
USA,Commercial,Earth Observation,47684
USA,Commercial,Earth Observation,47685
USA,Commercial,Earth Observation,47617
USA,Commercial,Earth Observation,47515
USA,Commercial,Earth Observation,47518
USA,Commercial,Earth Observation,47527
USA,Commercial,Earth Observation,47474
USA,Commercial,Earth Observation,47478
USA,Commercial,Earth Observation,46313
USA,Commercial,Earth Observation,46296
USA,Commercial,Earth Observation,46285
USA,Commercial,Earth Observation,46297
USA,Commercial,Earth Observation,46286
USA,Commercial,Earth Observation,46528
USA,Commercial,Earth Observation,46527
USA,Commercial,Earth Observation,46529
USA,Commercial,Earth Observation,46597
USA,Commercial,Earth Observation,46609
USA,Commercial,Earth Observation,46621
USA,Commercial,Earth Observation,46735
USA,Commercial,Earth Observation,46737
USA,Commercial,Earth Observation,46738
USA,Commercial,Earth Observation,46812
USA,Commercial,Earth Observation,46825
USA,Commercial,Earth Observation,46314
USA,Commercial,Earth Observation,46290
USA,Commercial,Earth Observation,46289
USA,Commercial,Earth Observation,46291
USA,Commercial,Earth Observation,46288
USA,Commercial,Earth Observation,51017
USA,Commercial,Earth Observation,51037
USA,Commercial,Earth Observation,51049
USA,Commercial,Earth Observation,51015
USA,Commercial,Earth Observation,51028
USA,Commercial,Earth Observation,51066
USA,Commercial,Earth Observation,51010
USA,Commercial,Earth Observation,51020
USA,Commercial,Earth Observation,51035
USA,Commercial,Earth Observation,51007
USA,Commercial,Earth Observation,51046
USA,Commercial,Earth Observation,50996
USA,Commercial,Earth Observation,50997
USA,Commercial,Earth Observation,51040
USA,Commercial,Earth Observation,51003
USA,Commercial,Earth Observation,51056
USA,Commercial,Earth Observation,51016
USA,Commercial,Earth Observation,51026
USA,Commercial,Earth Observation,51045
USA,Commercial,Earth Observation,51011
USA,Commercial,Earth Observation,51006
USA,Commercial,Earth Observation,51000
USA,Commercial,Earth Observation,51041
USA,Commercial,Earth Observation,51024
USA,Commercial,Earth Observation,51042
USA,Commercial,Earth Observation,51048
USA,Commercial,Earth Observation,51039
USA,Commercial,Earth Observation,51009
USA,Commercial,Earth Observation,51023
USA,Commercial,Earth Observation,51029
USA,Commercial,Earth Observation,51064
USA,Commercial,Earth Observation,51052
USA,Commercial,Earth Observation,51005
USA,Commercial,Earth Observation,51018
USA,Commercial,Earth Observation,51027
USA,Commercial,Earth Observation,50993
USA,Commercial,Earth Observation,51004
USA,Commercial,Earth Observation,51043
USA,Commercial,Earth Observation,51065
USA,Commercial,Earth Observation,50992
USA,Commercial,Earth Observation,51047
USA,Commercial,Earth Observation,55039
USA,Commercial,Earth Observation,55029
USA,Commercial,Earth Observation,55043
USA,Commercial,Earth Observation,55065
USA,Commercial,Earth Observation,55079
USA,Commercial,Earth Observation,55024
USA,Commercial,Earth Observation,55068
USA,Commercial,Earth Observation,55040
USA,Commercial,Earth Observation,55031
USA,Commercial,Earth Observation,55023
USA,Commercial,Earth Observation,55026
USA,Commercial,Earth Observation,55074
USA,Commercial,Earth Observation,55063
USA,Commercial,Earth Observation,55077
USA,Commercial,Earth Observation,55022
USA,Commercial,Earth Observation,55080
USA,Commercial,Earth Observation,55020
USA,Commercial,Earth Observation,55027
USA,Commercial,Earth Observation,55070
USA,Commercial,Earth Observation,55083
USA,Commercial,Earth Observation,55033
USA,Commercial,Earth Observation,55030
USA,Commercial,Earth Observation,55035
USA,Commercial,Earth Observation,55025
USA,Commercial,Earth Observation,55075
USA,Commercial,Earth Observation,55021
USA,Commercial,Earth Observation,55042
USA,Commercial,Earth Observation,55082
USA,Commercial,Earth Observation,55057
USA,Commercial,Earth Observation,55078
USA,Commercial,Earth Observation,55055
USA,Commercial,Earth Observation,55028
USA,Commercial,Earth Observation,55066
USA,Commercial,Earth Observation,55032
USA,Commercial,Earth Observation,55071
USA,Commercial,Earth Observation,55069
China,Government,Earth Science,52257
Japan,Commercial,Technology Demonstration,49398
Singapore,Military,Earth Observation,52935
USA,Military,Communications,27691
USA,Military,Communications,27875
USA,Military,Communications,25019
USA,Military,Communications,26575
USA,Military,Communications,23628
USA,Military,Communications,26052
USA,Military,Earth Observation,26356
USA,Military,Earth Observation,26880
USA,Military,Earth Observation,28158
USA,Military,Technology Development,44344
United Arab Emirates,Government,Earth Observation,39419
China,Military,Technology Development,46234
USA,Commercial,Technology Development,52423
USA,Commercial,Technology Development,52424
USA,Commercial,Technology Development,52426
USA,Commercial,Communications,24936
Italy,Commercial,Earth Observation,43790
USA,Commercial,Communications,28935
USA,Commercial,Communications,33207
USA,Commercial,Communications,36499
USA,Commercial,Communications,36792
USA,Commercial,Communications,39008
USA,Commercial,Communications,38551
USA,Commercial,Communications,41592
USA,Commercial,Communications,41893
USA,Commercial,Communications,42749
USA,Commercial,Communications,42070
USA,Commercial,Communications,27378
USA,Commercial,Communications,27854
